"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","log10Fa","Alpha","log10T90","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","AlphaSqr","log10T90Sqr","Response"
"060714A",0.10720997,22.0125926,1.93,3.73449,-10.86012091,1.20488,2.060660074,0.0114939776674009,484.554232973575,3.7249,13.9464155601,117.942226179819,1.4517358144,4.24631994057768,0.569490954348783
"060729A",0.068185862,20.86562801,1.75,5.1057,-11.15058059,1.35481,2.062017599,0.00464931177668304,435.374432251696,3.0625,26.06817249,124.335447494085,1.8355101361,4.25191657858572,0.187520720836463
"060814A",0.861534411,22.00679538,1.53,4.22387,-10.91009489,1.29504,2.162265614,0.742241541337117,484.299042897189,2.3409,17.8410777769,119.030170508804,1.6771286016,4.6753925854868,0.465813957269479
"060904B",0.387389826,21.59122827,1.64,3.77773801015901,-10.5689234966,1.31133487476349,2.234264124,0.15007087728831,466.181138207247,2.6896,14.2713044734002,111.702143876983,1.71959915377099,4.99193617579349,0.230448921378274
"060906A",0.294466226,22.41960057,2.03,4.33479,-11.8827287,1.71887,1.638489257,0.0867103582546831,502.638489718344,4.1209,18.7904043441,141.199241357804,2.9545140769,2.68464704530441,0.670802284260944
"060908A",0.481442629,21.80952201,1,2.81918,-9.627087997,1.38309,1.285557309,0.231787005018432,475.655250304674,1,7.9477758724,92.6808233019815,1.9129379481,1.65265759472332,0.459935016851525
"060912A",0.933487288,21.36738202,1.74,2.455171016,-10.1079054,1.045731532,0.698970004,0.871398516857595,456.565014388619,3.0276,6.02786471780647,102.169751575349,1.09355443701907,0.48855906649176,0.287129620719111
"060926A",0.037426498,22.50004427,2.54,3.351,-10.84771166,1.45111,0.903089987,0.001400742752544,506.25199215196,6.4516,11.229201,117.6728482585,2.1057202321,0.81557152461966,0.6232492903979
"060927A",0.431363764,22.10710478,0.9,3.15198,-10.77728353,1.39098,1.352953912,0.186074696892248,488.724081753899,0.81,9.9349779204,116.149840286009,1.9348253604,1.8304842879961,0.8109042806687
"061007A",1.164352856,21.74186197,1.03,3.15318403023796,-9.09744770575628,1.57372701998697,1.876852648,1.35571757327536,472.708561922532,1.0609,9.94256952854769,82.7635547589702,2.47661673343707,3.52257586230461,0.354108439147401
"061021A",0.78604121,20.87141063,1.3,3.23849,-10.04095861,1.01707,1.664641976,0.617860783818264,435.615781686077,1.69,10.4878174801,100.820849807733,1.0344313849,2.77103290826118,0.129141845792285
"061121A",1.324282455,21.75351565,1.41,3.78753,-10.03011836,1.35185,1.90982337,1.75372402062083,473.215443134795,1.9881,14.3453835009,100.603274315609,1.8274984225,3.64742530459816,0.364363354615731
"061126A",0.989449818,21.38058204,1.32,3.65779257147744,-10.60734793952,1.17632044730178,2.281033367,0.979010942340233,457.129288369171,1.7424,13.3794464959556,112.515830310039,1.38372979474025,5.20311322136736,0.334212409393176
"061222A",0.930949031,22.56660835,1.35,3.92091,-9.954677021,1.35061,1.853698212,0.866666098319839,509.25181242229,1.8225,15.3735352281,99.0955945924254,1.8241473721,3.436197061172,0.489677291663699
"070110A",-0.22184875,21.3989672,1.58,4.26825,-11.04866248,1.42725,1.946550511,0.0492168678765625,457.915797226676,2.4964,18.2179580625,122.07294259696,2.0370425625,3.78905889187436,0.525304009958239
"070125A",0.461366700396796,21.1168251059769,1.66719216524827,4.25203982319811,-10.8270427578027,1.59885045178941,1.77815125,0.212859232235027,445.920302556414,2.77952971586523,18.0798426580626,117.224854879288,2.55632276718721,3.16182186787656,0.406540180433955
"070208A",-0.045757491,21.8647258,1.94,3.44468,-10.86327943,1.2125,1.806179974,0.00209374798261508,478.066234309186,3.7636,11.8658203024,118.010839974261,1.47015625,3.26228609847864,0.335457900689384
"070223A",-0.161150909,21.70173804,1.85,4.22335,-11.86327943,0.991734,1.9408513687054,0.0259696154715263,470.965433956783,3.4225,17.8366852225,140.737398834261,0.983536326756,3.76690403540562,0.419873175149476
"070306A",0.609594409,22.44245468,1.66,4.86926,-11.2737,1.89982,2.321184027,0.371605343484059,503.663772063854,2.7556,23.7096929476,127.09631169,3.6093160324,5.38789528719994,0.397227181043161
"070411A",-0.040958608,22.32139542,1.72,3.53934536025602,-10.6872949876051,1.37847304344055,2.089021501,0.00167760756929766,498.244693495997,2.9584,12.5269655791658,114.218274152089,1.90018793149226,4.36401083164029,0.59659709562646
"070508A",1.382017043,21.89306622,1.1,3.02525,-9.161150909,1.37377,1.320146286,1.90997110714246,479.306348513305,1.21,9.1521375625,83.9266859774715,1.8872440129,1.74278621643959,0.260071387985075
"070521A",0.814913181,22.27524914,1.1,3.55243,-10.01233374,1.44502,1.57863921,0.664083492567539,496.186724249071,1.21,12.6197589049,100.246826921142,2.0880828004,2.49210175534942,0.489466281303128
