"","log10T90","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"110503A",1,1.90907,-5,0.88,21.13638759,0.130333768,3.405445073,0.017371779,0.25,0.019301977,0.147896600362852,1.613,0.417139409727326
"110715A",1.113943352,1.85342,-4.928117993,1.25,22.0746007,1.731588765,4,0.007360923,0.12,0.008863153,0.133629071449258,0.82,0.260071387985075
"110731A",1.588831726,1.85145,-5.22184875,1.15,21.95954126,1.041392685,11.66246372,0.007238241,0.05,0.011844395,0.130539784388153,2.83,0.583198773968623
"110801A",2.58546073,2.04784,-5.327902142,1.84,21.39050236,0.041392685,4.820058467,0.027720924,0.1,0.078962633,0.00543720725272751,1.858,0.456062224454951
"110808A",1.681241237,2.33721,-6.48148606,2.32,21.39200012,-0.397940009,22.627417,0.105283511,0.43,0.217147241,0.204728382319217,1.348,0.370698092575577
"110818A",2.012837225,1.95985,-5.397940009,1.58,22.06812647,0.204119983,18.0548006,0.021714724,0.11,0.081430215,0.0761271870594219,3.36,0.639486489268586
"111008A",1.802500068,1.94053,-5.27572413,1.86,22.17059025,0.806179974,2.36485691,0.024582707,0.09,0.047500959,0.0161841207996628,4.9898,0.777412321496744
"111107A",1.424881637,2.11569,-6.055517328,1.49,21.56675205,0.079181246,17.43704666,0.039481317,0.14,0.072382414,0.284692223259189,2.893,0.590284403718162
"111123A",2.462397998,2.55463,-5.13667714,1.68,21.35034301,-0.045757491,88.09086218,0.017847718,0.07,0.048254942,0.131921983937837,3.1516,0.618215503279417
"111209A",2.505149978,1.81212,-4.443697499,1.48,21.14009932,-0.301029996,29.55180898,0.012063736,0.03,0.086858896,0.0401068361866461,0.677,0.224533062606086
"111228A",2.005180513,2.03824,-5.070581074,2.27,21.41342718,1.093421685,5.415902489,0.010218694,0.06,0.017511874,0.023242060897345,0.714,0.234010817587179
"120118B",1.36660971,2.20884,-5.744727495,2.08,21.451745,0.342422681,19.64696058,0.024127471,0.11,0.059221975,0.366834332492466,2.943,0.595826777073223
